,flow,batch,epochs,logdet,ndim,lr,est_pf,est_pf1,true_prob,rb,nRMSE
0,40,200,50,1.5,2,0.001,"[3.89377967e-05 1.55108843e-04 8.66955311e-05 2.55048627e-04
 1.32118676e-04 2.22218727e-04 4.40472671e-05 6.72102954e-05
 1.58786573e-04 1.73715854e-04 9.05751145e-05 1.99397633e-04
 2.82953158e-04 7.12039350e-05 9.75934456e-05 1.27001960e-04
 1.65153703e-04 7.48614799e-05 1.21543086e-04 1.49961071e-04
 2.53363666e-04 1.47251939e-04 7.49218319e-05 1.58218939e-04
 1.79595686e-04 1.50935808e-04 1.96619360e-04 1.41488881e-04
 1.58533695e-04 8.53170041e-05 1.54315884e-04 1.74454221e-04
 2.41692935e-04 2.21973964e-04 1.05939506e-04 1.08857964e-04
 1.73974776e-04 1.79042047e-04 1.18598174e-04 1.75913147e-04
 1.18400184e-04 8.03505289e-05 2.58319642e-04 8.33935313e-05
 2.15311625e-04 1.16802371e-04 2.65058076e-04 1.85773119e-04
 1.02992739e-04 8.16317591e-05 1.34712479e-04 1.47026428e-04
 8.09249650e-05 1.16640109e-04 9.46416993e-05 1.80204339e-04
 1.08397667e-04 1.96327712e-05 1.19757532e-04 1.34942056e-04
 8.81375969e-05 6.60192068e-05 1.33846436e-04 2.05573002e-04
 8.58215202e-05 2.15201439e-04 2.68461579e-04 5.87512830e-05
 1.04083595e-04 9.53344001e-05 8.08136376e-05 1.07501350e-04
 8.33263017e-05 1.01610893e-04 1.65644326e-04 2.22781447e-04
 8.67493652e-05 1.17388689e-04 1.58870683e-04 1.00409825e-04
 2.14373150e-04 7.27619342e-05 9.80036632e-05 1.79372153e-04
 2.35205428e-04 1.26448650e-04 1.55684848e-04 1.12322693e-04
 1.46778518e-04 8.97667033e-05 4.98942103e-05 1.27760367e-04
 1.05451747e-04 2.45481096e-04 1.42106981e-04 8.93478858e-05
 1.33492929e-04 1.77465342e-04 2.05873063e-04 1.81817612e-04]","[0.00044019 0.00048963 0.000385   0.00049196 0.00045881 0.00044716
 0.00038285 0.0003557  0.00039359 0.00052239 0.00042904 0.00053347
 0.00051893 0.00041218 0.00035917 0.00056276 0.00044727 0.00038743
 0.00047708 0.00051529 0.0005061  0.00050346 0.00047684 0.00050149
 0.00043094 0.00044363 0.00053331 0.00041819 0.0004918  0.00036806
 0.00044143 0.00047107 0.00052113 0.00047921 0.00040347 0.00040287
 0.00043553 0.00053387 0.00039068 0.00045117 0.00046121 0.00040183
 0.00053459 0.00036009 0.00046178 0.00039225 0.00052517 0.00046242
 0.00046381 0.00039013 0.00048657 0.00045175 0.0003943  0.00044102
 0.00046608 0.00054637 0.00050107 0.00046964 0.00040588 0.00052249
 0.00040336 0.00039932 0.00045097 0.00046995 0.00042002 0.00052747
 0.00060719 0.00035439 0.00042533 0.00037003 0.00040809 0.00045264
 0.00039089 0.0004153  0.00047826 0.00048062 0.00042904 0.00054008
 0.00047212 0.00054665 0.00046913 0.00043147 0.00038328 0.00054713
 0.00052994 0.00047534 0.00047747 0.00038267 0.00046799 0.00043545
 0.00041884 0.00039372 0.00041172 0.00052273 0.00046992 0.00039897
 0.0004173  0.00051985 0.00069612 0.00041964]",0.00083,-0.4498431063658438,0.45560948385203326
1,60,50,50,1.5,2,0.001,"[9.10680686e-05 1.80559218e-04 1.72611083e-04 1.47146567e-04
 1.72422467e-04 1.02922424e-04 1.50298435e-04 2.36888679e-04
 1.60945548e-04 1.19516942e-04 1.00899900e-04 1.34174019e-04
 5.44055590e-05 1.43914659e-04 1.26374329e-04 1.61242671e-04
 1.87157885e-04 2.05480957e-04 1.08206537e-04 1.12000211e-04
 1.38023953e-04 1.47977814e-04 1.02812921e-04 1.80484855e-04
 8.40166250e-05 7.55583232e-05 1.74645110e-04 1.60306907e-04
 1.93213180e-04 9.89543811e-05 1.97673165e-04 1.27044316e-04
 1.90933364e-04 9.99013904e-05 1.37166797e-04 2.12520095e-04
 1.32913941e-04 9.30230081e-05 1.54215312e-04 1.58413940e-04
 2.27307362e-04 8.47020705e-05 1.52918009e-04 1.65331411e-04
 1.30794130e-04 1.52712281e-04 6.53190754e-05 1.06465896e-04
 1.10829910e-04 1.90935961e-04 1.25791708e-04 7.08872219e-05
 1.29555285e-04 1.19965552e-04 2.12848660e-04 1.12436595e-04
 6.60295678e-05 2.18810697e-04 8.64906993e-05 2.20560989e-04
 6.47499196e-05 9.69623427e-05 1.11208146e-04 1.01424027e-04
 1.38001167e-04 1.41290085e-04 2.79592091e-04 1.34889540e-04
 1.56324545e-04 1.87473169e-04 1.52806099e-04 1.63692389e-04
 1.32794242e-04 1.14401679e-04 2.18736358e-04 1.80625759e-04
 1.87607993e-04 2.82628359e-05 1.28404123e-04 9.81268925e-05
 2.34772263e-04 1.05934335e-04 1.32750032e-04 1.63452575e-04
 6.48334815e-05 1.53874911e-04 1.64484525e-04 1.52289867e-04
 7.18564049e-05 7.80031874e-05 7.00411240e-05 1.37668072e-04
 2.26415864e-04 1.79611552e-04 2.91282209e-04 1.17824751e-04
 2.21237096e-04 1.34277165e-04 8.99362600e-05 6.72256308e-05]","[0.00038565 0.0005025  0.00053159 0.00046018 0.00050886 0.00043797
 0.00043626 0.00048774 0.00049638 0.0004705  0.00042211 0.00045648
 0.0003756  0.00043075 0.0005119  0.00044395 0.00048772 0.0004871
 0.00045037 0.00038962 0.00047811 0.00041488 0.00038456 0.00042096
 0.00042765 0.00035744 0.00054085 0.00048095 0.00052046 0.00041874
 0.00046145 0.00048725 0.00043476 0.00041787 0.00046719 0.00051514
 0.00045402 0.00040721 0.00047945 0.0005111  0.00054401 0.00034282
 0.00039985 0.00054241 0.00046278 0.00044104 0.00039983 0.00034155
 0.00041806 0.00047975 0.00046592 0.00035318 0.00046254 0.00043684
 0.00051915 0.00045947 0.00040736 0.00048141 0.00037613 0.00051499
 0.00042242 0.00038908 0.000365   0.000396   0.00042785 0.00048311
 0.00051285 0.0004975  0.00042705 0.00048179 0.0005149  0.00045387
 0.00045637 0.00052604 0.0005349  0.00043621 0.00048797 0.0003584
 0.00048311 0.00040316 0.0005064  0.00035949 0.00044933 0.00052529
 0.00039419 0.00041028 0.00049282 0.00045476 0.00046622 0.00038085
 0.00044234 0.00045567 0.00049397 0.00048287 0.00058967 0.00042607
 0.00050278 0.00048954 0.00045963 0.00043369]",0.00083,-0.4533028530705663,0.4575797449177399
2,40,20,50,1.5,2,0.001,"[7.83857668e-05 1.35369222e-04 7.77505768e-05 1.15796272e-04
 1.41854236e-04 1.93115388e-04 1.56351620e-04 7.33264765e-05
 1.51506336e-04 1.12506532e-04 1.50239918e-04 1.49497155e-04
 1.34750074e-04 1.36944300e-04 4.39646964e-04 1.78337375e-04
 6.88651981e-05 4.63680491e-05 1.12879200e-04 9.21377104e-05
 0.00000000e+00 1.44193132e-04 9.65423198e-05 1.39110645e-04
 3.53591587e-05 1.56512810e-04 6.15300572e-05 5.15369093e-05
 2.67328633e-05 1.92613988e-04 1.51695858e-04 1.93064957e-04
 3.36393936e-04 1.27534564e-04 8.13652247e-05 8.39843794e-05
 1.56088349e-04 9.55021272e-05 1.08265081e-04 2.94060980e-04
 2.21598949e-04 7.96893621e-05 1.10189638e-04 1.49656160e-04
 2.20897613e-04 1.72282227e-04 3.51244831e-04 1.18848094e-04
 1.22631961e-04 9.90371540e-05 1.35436257e-04 2.24455369e-04
 2.85254222e-04 1.97389535e-04 1.35004685e-04 1.41144218e-04
 1.69295190e-04 1.43303849e-04 1.10533254e-04 1.39036348e-04
 2.40521980e-04 1.18726037e-04 1.75098044e-04 1.35418630e-04
 6.94309092e-05 1.63889934e-04 1.74509595e-04 1.87050732e-04
 1.53657482e-04 4.24982463e-05 2.12032933e-04 1.40245713e-04
 1.69930004e-04 6.09446679e-05 7.85760791e-05 1.87845336e-04
 1.47264701e-04 3.93744039e-05 1.82742496e-04 1.57977774e-04
 8.27852783e-05 4.69206174e-05 2.78408824e-04 9.37532080e-05
 1.14694919e-04 2.65312010e-04 2.44718678e-04 1.95822551e-04
 7.74485370e-05 9.05352369e-05 1.55626435e-04 9.38777988e-05
 1.80067264e-04 2.10898247e-04 2.04556430e-04 2.62813247e-04
 1.04664268e-04 5.26559210e-05 2.74662380e-04 4.22309591e-05]","[0.00034557 0.00039802 0.0003868  0.00042465 0.00043131 0.00048675
 0.00047776 0.00044451 0.0004362  0.00041047 0.00042871 0.00044832
 0.00042546 0.00047823 0.00065352 0.00055682 0.00045175 0.00036541
 0.00052745 0.00047341 0.00037635 0.0004361  0.00038192 0.00048466
 0.00042331 0.00040409 0.00032019 0.00045193 0.00034036 0.00044238
 0.00047094 0.00048077 0.00056123 0.00044964 0.0003722  0.00043637
 0.00048636 0.00040287 0.00054619 0.00059369 0.0005102  0.00047237
 0.00049102 0.00048577 0.00055396 0.00046092 0.00068569 0.00039421
 0.00045624 0.00040774 0.00046107 0.00045047 0.00058866 0.00049516
 0.00049936 0.00042794 0.00047303 0.00050067 0.00039983 0.00049786
 0.00053875 0.00041279 0.00049002 0.00038658 0.00037423 0.0004111
 0.00050527 0.00050911 0.00047854 0.00036336 0.00051931 0.00051434
 0.00042011 0.00039507 0.00045034 0.00053256 0.00048711 0.00045672
 0.00046624 0.00054782 0.00038555 0.00037537 0.00052346 0.00041403
 0.00045725 0.00059241 0.00056122 0.0005028  0.00039823 0.00039568
 0.00048006 0.00040361 0.0004433  0.00048932 0.0004929  0.00050585
 0.00036413 0.00041004 0.00058535 0.00052834]",0.00083,-0.44345645072084944,0.4508019617688121
3,40,50,50,1.5,2,0.001,"[2.13566268e-04 2.49646386e-04 1.53844224e-04 6.88735607e-05
 2.12186626e-04 1.80167299e-04 2.21497330e-04 2.17673537e-04
 1.40697273e-04 2.13065902e-04 2.69528111e-04 1.83404082e-04
 1.16412727e-04 4.96401453e-05 2.04721327e-04 2.70243625e-04
 1.71881752e-04 5.27682816e-05 1.06243852e-04 1.39618098e-04
 5.96858706e-05 3.69295671e-05 1.23481852e-04 3.66463372e-05
 2.05414087e-04 1.16884252e-04 9.20109663e-05 2.29007859e-04
 3.92869008e-04 1.09847862e-04 1.44933967e-04 1.34114385e-04
 1.67599256e-04 7.87577950e-05 7.83517368e-05 1.77327194e-04
 1.07209489e-04 7.78155765e-05 1.09637066e-04 1.93805811e-04
 1.67109244e-04 1.10723225e-04 2.57128835e-04 2.57461427e-04
 1.23683005e-04 1.45318307e-04 1.46448655e-04 1.10493495e-04
 2.28210801e-04 2.30957703e-04 1.09834861e-04 1.08489182e-04
 1.29934609e-04 2.95849341e-04 1.93755567e-04 1.21371369e-04
 1.51962288e-04 1.54036577e-04 8.33534633e-05 1.56061633e-04
 5.58142690e-05 1.32595344e-04 7.31490454e-05 2.32842984e-04
 1.12829237e-04 7.38195098e-05 7.37919776e-05 2.76907911e-04
 2.05465609e-04 5.52742987e-05 8.73784179e-05 2.34863862e-04
 1.93846063e-04 5.07043828e-05 1.64725648e-04 1.18925509e-04
 1.88460051e-04 4.01180269e-05 2.91180427e-04 9.47390180e-05
 1.39344936e-04 7.99442576e-05 2.14867186e-04 3.16983486e-04
 6.65106486e-05 7.13623167e-05 1.40894209e-04 5.48948677e-05
 1.94741044e-04 3.29282495e-04 1.05095715e-04 1.20696270e-04
 2.21269690e-04 1.46928120e-04 3.45635504e-04 1.14712639e-05
 1.38589535e-04 1.82738462e-04 2.00887500e-04 4.76123875e-05]","[0.00052958 0.00055946 0.00048383 0.0004405  0.00054019 0.00047367
 0.00046057 0.00051872 0.00044016 0.0006104  0.00045069 0.00056187
 0.00043618 0.00042764 0.00048873 0.00057088 0.00046745 0.00033446
 0.0003767  0.00050111 0.00034156 0.00033669 0.00045603 0.00045711
 0.00045113 0.00040274 0.00037023 0.00051017 0.00059597 0.00047352
 0.00040969 0.00042581 0.00068669 0.00041526 0.00045544 0.00049487
 0.00047781 0.00041295 0.00045026 0.00049769 0.00058623 0.0004011
 0.00057163 0.00048572 0.00048131 0.00042915 0.0004403  0.00032558
 0.00054821 0.00049581 0.00054031 0.00039585 0.00041627 0.00058005
 0.00050255 0.00056133 0.00050869 0.00040214 0.00038028 0.00041125
 0.00040949 0.00044305 0.00037482 0.00049921 0.00042017 0.00039835
 0.00044691 0.00068077 0.00048029 0.0003445  0.00049896 0.0005506
 0.00053029 0.00047158 0.0004551  0.00045919 0.00049563 0.00034455
 0.00054717 0.00038067 0.00051555 0.00047714 0.00049943 0.00064065
 0.00036138 0.0004033  0.00052877 0.00038798 0.00044514 0.00062679
 0.00045798 0.00040319 0.00049334 0.00046097 0.00058893 0.0004269
 0.00042864 0.00043858 0.0004559  0.00035282]",0.00083,-0.4351458121327376,0.4446523888104703
4,60,200,50,1.5,2,0.001,"[9.82569704e-05 9.72500945e-05 1.34709022e-04 1.25169937e-04
 1.60311786e-04 1.35887999e-04 9.20925856e-05 1.04482929e-04
 1.34824451e-04 8.10700722e-05 1.20835144e-04 2.08071632e-04
 1.52477893e-04 8.55664983e-05 1.07833296e-04 2.13977310e-04
 1.25966521e-04 2.20804777e-04 1.20074482e-04 1.63409515e-04
 1.07717108e-04 2.73942286e-04 1.47589835e-04 2.93179355e-04
 4.52639901e-05 2.27373556e-04 1.70048024e-04 1.57657962e-04
 7.29768898e-05 1.16025818e-04 9.29296375e-05 2.06963508e-04
 2.20607728e-04 2.31402012e-04 1.71280527e-04 1.54136461e-04
 2.04002536e-04 1.65954909e-04 2.54979714e-04 1.85056019e-04
 9.40307487e-05 1.48392855e-04 1.02736034e-04 8.99397138e-05
 2.05909010e-04 6.48633162e-05 9.68281217e-05 1.02854577e-04
 7.69378274e-05 1.87184778e-04 2.73025375e-04 1.35486630e-04
 7.04340427e-05 1.51047429e-04 1.98031453e-04 1.95250559e-04
 2.17135828e-04 1.26853600e-04 1.68111202e-04 1.85473045e-04
 1.40922764e-04 1.61811140e-04 6.92163207e-05 2.48369508e-04
 2.40443563e-04 1.13144651e-04 2.85089284e-04 5.45248328e-05
 1.11978891e-04 1.70972393e-04 1.29167752e-04 6.74784183e-05
 2.16359362e-04 1.70850322e-04 5.25590151e-05 1.53359380e-04
 1.13232578e-04 1.63106160e-04 1.47161375e-04 1.43292265e-04
 1.23708447e-04 1.04027477e-04 4.08197065e-05 1.43183143e-04
 1.73224848e-04 1.62148068e-04 9.07259817e-05 1.29531741e-04
 2.33078939e-04 1.22969561e-04 1.50958223e-04 5.85222064e-05
 2.46538709e-04 2.32290804e-04 1.47689528e-04 1.99030145e-04
 2.52141938e-04 1.93248457e-04 1.62662612e-04 1.64869115e-04]","[0.00040139 0.00041054 0.0004943  0.00044261 0.00043334 0.00043483
 0.00042503 0.00040388 0.00042329 0.00038723 0.00047066 0.00056821
 0.00049486 0.00042752 0.00045696 0.00059634 0.00045715 0.00051214
 0.00043017 0.00045827 0.00046598 0.0005101  0.00041749 0.00058543
 0.00040056 0.00049616 0.00043503 0.00051472 0.00037616 0.00045473
 0.00037659 0.00047984 0.00043656 0.00058887 0.00044234 0.00044711
 0.00052059 0.00047941 0.00050522 0.00053534 0.00045415 0.00043538
 0.00043199 0.00039871 0.00049702 0.00039949 0.00044086 0.00043586
 0.00045752 0.00052503 0.00053985 0.00046047 0.00034957 0.00049507
 0.00050695 0.00051938 0.00051836 0.00047221 0.00052478 0.00052521
 0.00042633 0.00043979 0.00037502 0.00051897 0.00051222 0.0004178
 0.00054581 0.00041024 0.00042811 0.00048612 0.00039015 0.00042857
 0.00052559 0.00044541 0.00038821 0.00044302 0.00045392 0.00048681
 0.00049359 0.00044581 0.00040261 0.00046014 0.00042003 0.0004253
 0.00048045 0.0004231  0.00042398 0.00038036 0.00045115 0.0004743
 0.00044935 0.000409   0.00048933 0.00053977 0.00043867 0.00041939
 0.00050422 0.00050396 0.00054761 0.0006213 ]",0.00083,-0.44204398447840676,0.4468122748578462
5,40,100,50,1.5,2,0.001,"[1.75845975e-04 3.16612812e-04 1.04617491e-04 3.43506671e-04
 2.08246100e-04 2.27224678e-04 1.03740674e-04 7.35880227e-05
 1.87163215e-04 2.26537688e-04 1.67508149e-04 3.82449316e-05
 9.48633494e-05 2.13403970e-04 9.06307116e-05 2.18812652e-05
 1.64475872e-04 4.61555256e-05 1.88671855e-04 1.07266667e-04
 8.58546227e-05 1.49145800e-04 3.28368811e-04 1.03190362e-04
 2.01274634e-04 1.26265525e-04 2.88623917e-04 7.43625275e-05
 8.19794943e-05 1.83257125e-04 2.98617466e-05 8.36978534e-05
 7.36726161e-05 1.72757344e-04 1.44106013e-04 1.67513807e-04
 2.18540335e-04 2.30513430e-04 3.20860395e-04 1.15747097e-04
 1.24479328e-04 5.42507717e-05 2.58458242e-04 2.50315254e-04
 1.29333764e-04 1.08650291e-04 6.88271990e-05 2.70556935e-04
 1.75294428e-04 1.39549888e-04 1.38659469e-04 1.26618084e-04
 7.95985086e-05 1.58278541e-04 4.40206591e-05 8.01510254e-05
 7.41270524e-05 1.84707375e-04 1.60483960e-04 6.72429999e-05
 6.83553520e-05 4.42529592e-04 2.57731692e-04 1.52472554e-04
 6.87808974e-05 2.06332239e-04 2.70704473e-04 5.03607372e-05
 1.48562227e-04 1.80304232e-04 2.20861055e-04 6.62641237e-05
 1.50049933e-04 1.36343874e-04 1.58919024e-04 8.77436794e-05
 1.99193043e-04 3.37385037e-04 9.50540714e-05 7.25283057e-05
 2.16103249e-04 3.26559411e-05 1.77375026e-04 2.60687006e-04
 9.21285899e-05 1.12040751e-04 2.58023488e-04 1.43554356e-04
 3.20224070e-04 4.36277684e-05 1.16707226e-04 1.59425535e-04
 2.17401263e-04 4.35876585e-05 1.25904279e-04 1.66630713e-04
 1.36585489e-04 2.03130651e-04 1.11184958e-04 2.53007936e-04]","[0.00042208 0.00054222 0.00038279 0.00060312 0.00041753 0.00053476
 0.00042572 0.0004488  0.00050774 0.00054846 0.00046108 0.00033279
 0.00036579 0.00050201 0.00037699 0.00036392 0.00044958 0.00048116
 0.00045822 0.00038924 0.00036374 0.00047053 0.00058948 0.00047335
 0.00045736 0.00042214 0.00068431 0.00040104 0.00050839 0.00047687
 0.00042204 0.00042874 0.00046571 0.00046757 0.0005431  0.00047285
 0.0005532  0.00047766 0.00055983 0.00040751 0.00044598 0.00030506
 0.0005188  0.00052218 0.00055168 0.00044698 0.00039096 0.00058614
 0.00049688 0.00058791 0.00047961 0.00040124 0.00040529 0.00041494
 0.00037174 0.00043714 0.00039012 0.0004576  0.00043086 0.00041406
 0.00043512 0.00067164 0.00051568 0.00036552 0.00051222 0.00054794
 0.00058032 0.00048184 0.00047413 0.00049025 0.00049293 0.00036663
 0.00044213 0.00038274 0.00050049 0.00051346 0.00049596 0.00062563
 0.00037342 0.00040948 0.00053609 0.0003777  0.00045455 0.00059735
 0.00047038 0.0003857  0.00044627 0.0004677  0.00058251 0.00046039
 0.00040518 0.00043772 0.00049816 0.00036098 0.00044183 0.00052009
 0.00044949 0.00041545 0.00038277 0.000548  ]",0.00083,-0.4381878677275581,0.44715887665633614
6,60,20,50,1.5,2,0.001,"[1.10861983e-04 8.34041604e-05 4.12567071e-05 1.84364940e-04
 1.56990081e-04 2.37295031e-04 2.00747328e-04 6.02487859e-05
 1.29563958e-04 1.32486735e-04 1.48697274e-04 1.39169478e-04
 1.78452148e-04 6.12409020e-05 1.19373793e-04 7.45215023e-05
 1.03951276e-04 1.11716650e-04 1.55997508e-04 1.64680238e-04
 1.45346599e-04 1.09192537e-04 8.31308392e-05 1.56773912e-04
 1.23722647e-04 1.53374729e-04 1.05022340e-04 1.15492079e-04
 1.10168411e-04 7.92413291e-05 1.18835647e-04 1.68688806e-04
 1.61819431e-04 1.22086754e-04 9.52278028e-05 2.53885169e-04
 1.03640104e-04 9.34955451e-05 1.29578576e-04 2.16009193e-04
 1.14911860e-04 1.12644292e-04 1.65027229e-04 3.13703584e-04
 9.35186785e-05 9.11250155e-05 1.13051851e-04 1.96539005e-04
 6.34964166e-05 1.97218828e-04 3.23018994e-05 2.36784187e-04
 2.18564247e-04 1.88705676e-04 1.58848589e-04 1.18889505e-04
 2.54661384e-04 1.21324880e-04 2.00052995e-04 1.70332231e-04
 3.99383362e-05 1.87883624e-04 1.51088892e-04 1.44673640e-04
 1.56678798e-04 5.30496652e-05 6.99229067e-05 1.21406655e-04
 1.22649066e-04 1.64503742e-04 3.33367944e-04 1.31726456e-04
 1.22969169e-04 1.06816785e-04 1.89322253e-04 1.35903170e-04
 2.48301852e-04 1.49151358e-04 1.48451871e-04 7.65927853e-05
 1.90937702e-04 1.43278540e-04 1.01769205e-04 1.12739196e-04
 2.21824188e-04 1.15921176e-04 2.21332699e-04 9.93572336e-05
 9.22203577e-05 1.49549942e-04 1.88260362e-04 6.95572255e-05
 1.78554882e-04 6.30827593e-05 4.05279894e-05 1.50779535e-04
 1.72668583e-04 2.66560531e-04 1.21804729e-04 1.10454007e-04]","[0.00041425 0.00040911 0.00037851 0.00050243 0.00044929 0.00051616
 0.00057076 0.00040143 0.00051507 0.00042163 0.0004309  0.00047223
 0.00052102 0.00040597 0.00042439 0.00040973 0.00041732 0.0004098
 0.00056399 0.00045794 0.00045996 0.0003855  0.00046743 0.00044635
 0.00049597 0.00042346 0.00041464 0.00040066 0.00042466 0.00039148
 0.00049121 0.00058144 0.00051051 0.00043837 0.00044787 0.0005873
 0.00047037 0.00044632 0.00045127 0.00049462 0.00044404 0.00045142
 0.00044713 0.00059095 0.00041832 0.00043108 0.00038055 0.00055501
 0.00040513 0.00049562 0.00036342 0.00043359 0.00046214 0.00052505
 0.00045007 0.00041318 0.00052389 0.00048363 0.00052816 0.0004857
 0.00039811 0.00048581 0.00042989 0.00044949 0.000449   0.00038411
 0.00042575 0.00047155 0.00040904 0.00057002 0.00055758 0.00048299
 0.00036248 0.00047837 0.00047965 0.00044366 0.00050487 0.00047317
 0.00048995 0.00041061 0.00046376 0.00041464 0.00042017 0.00042467
 0.00053176 0.00043649 0.00051416 0.00044203 0.00044062 0.00041909
 0.00044492 0.00040849 0.00049834 0.00041488 0.00037739 0.00049043
 0.00046382 0.00058673 0.0004965  0.0004036 ]",0.00083,-0.4474938696714474,0.4521735750893129
7,60,100,50,1.5,2,0.001,"[1.38095138e-04 1.98467500e-04 1.50527547e-04 1.17586395e-04
 9.14240664e-05 2.02825207e-04 6.30840636e-05 1.27723023e-04
 1.53159494e-04 1.26372961e-04 1.92901056e-04 2.73679265e-04
 1.18140685e-04 9.48120316e-05 1.39879301e-04 1.72838608e-04
 1.08296416e-04 2.14093115e-04 8.85674486e-05 8.59778303e-05
 1.96423663e-04 1.41428197e-04 1.53520747e-04 1.31550547e-04
 1.78593796e-04 8.92626492e-05 2.02106058e-04 1.22809927e-04
 1.31399393e-04 2.52535900e-04 1.32659334e-04 1.07769583e-04
 2.40515393e-04 1.33660185e-04 2.26038350e-04 8.09184285e-05
 1.50900708e-04 1.81728915e-04 1.20889083e-04 1.75509237e-04
 6.25351377e-05 1.24178259e-04 1.44255604e-04 1.80747980e-04
 1.20481969e-04 9.31390847e-05 1.20853849e-04 1.74088788e-04
 1.87567589e-04 4.17453323e-05 1.11293008e-04 1.83180073e-04
 4.67320563e-05 2.38434358e-04 6.33544884e-05 8.82539701e-05
 8.80174957e-05 1.20715017e-04 1.71766882e-04 2.05472417e-04
 2.03609655e-04 1.47935842e-04 1.45488617e-04 1.32414160e-04
 1.19395795e-04 2.22279916e-04 1.04504091e-04 1.12556847e-04
 2.35094722e-04 1.37252673e-04 1.98057860e-04 1.76307443e-05
 1.22908435e-04 6.97353777e-05 2.09932952e-04 1.05851935e-04
 1.26777082e-04 2.03678106e-04 5.05874033e-05 1.42166709e-04
 1.79228352e-04 1.17402053e-04 8.85573066e-05 6.62312930e-05
 7.92433264e-05 1.68215947e-04 1.79023877e-04 1.40267774e-04
 2.66679197e-04 1.09034288e-04 2.15973006e-04 1.10557210e-04
 1.13416881e-04 7.37703822e-05 2.24517901e-04 1.21753384e-04
 1.15039257e-04 1.92753434e-04 1.12921236e-04 9.00583525e-05]","[0.00042649 0.00044035 0.00049086 0.00045881 0.00042739 0.00050436
 0.00038197 0.00042385 0.00054768 0.00041336 0.00051285 0.00053453
 0.00047673 0.00038955 0.00046981 0.00044346 0.00039269 0.00043559
 0.00042873 0.00038426 0.0005473  0.00046885 0.00048652 0.00042139
 0.0004487  0.00042416 0.00051001 0.00043086 0.00046652 0.00051117
 0.00045916 0.00041351 0.00054181 0.00048735 0.00053329 0.00034054
 0.00041274 0.0005382  0.00048067 0.00044143 0.00041949 0.0003432
 0.00040857 0.00048035 0.00044538 0.00035204 0.00043928 0.00049626
 0.00047857 0.00042499 0.0004159  0.00050149 0.00033113 0.00050906
 0.00040698 0.00039041 0.00036486 0.00040508 0.00044417 0.00052749
 0.000453   0.00047681 0.00044223 0.00042427 0.00048373 0.00051223
 0.00045061 0.00050977 0.00054996 0.00040308 0.00050297 0.00034452
 0.00046958 0.00039674 0.00052263 0.00037773 0.0004679  0.00057043
 0.00039043 0.0003814  0.00050319 0.00043871 0.0004723  0.00037536
 0.00043858 0.00047115 0.0004594  0.00048905 0.00057349 0.00043917
 0.00048685 0.00045283 0.00048951 0.00044358 0.00059086 0.00040422
 0.00045592 0.0004388  0.00037967 0.00042006]",0.00083,-0.45439870343275324,0.4592801009583526
